perplex |  v. 使...困惑, 使...更复杂, 使...为难
fine |  n. 罚款,罚金,结尾 // vt. 罚款 // vi. 净化，细化 // adj. 美好的, 优质的, 精致的，晴朗的, 健康的，纤细的，恭维的，辞藻华丽的 // adv. 恰好地，合适地
courtesy |  n. 礼貌, 好意, 恩惠
foam |  n. 泡沫,水沫 // vt.& vi.起泡沫, 吐口沫, 愤怒, 沸腾
contemporary |  n. 同时代的人；同时期的东西 // adj. 当代的；同时代的；属于同一时期的
considerate |  adj. 考虑周到的,体谅的
divert |  vt. 转移,使欢娱 // vi. 转移
plausible |  adj. 似真实的,似合理的,说得蛮像回事的
summer |  adj. 夏季的 // n. 夏天, 全盛期, 年 // vi. 度过夏天 // vt. 在夏天保存或存放, 放(羊/牛)
junior |  adj.较年幼的，较年小的； 三年级的，低年级的； 资历较浅的； 后进的 // n.年少者，青少年； 晚辈； 三年级生； 职位较低者
glance |  vi.一瞥； 闪微光； 掠过，擦过； 随便提到，简略地触及 // n.浏览； 闪光； 歪斜，一掠
commonwealth |  n. 共和国,联邦
single |  adj. 单身的,单纯的,单一的 // n. 单程票,单曲,单人房,单身者 // vt. 单独挑出 // vi. (棒球)作一垒打
adjoin |  v. 邻接, 毗连
perfect |  adj. 完美的；最好的；精通的 // vt. 使完美；使熟练 // n. 完成式
affair |  n. 事件,事情,事务
sign |  n. 符号, 正负号, 手势, 迹象, 招牌 // v. 签, 做手势, 做标记
peculiar |  adj. 奇怪的,古怪的,特殊的,独特的 // n. 特权
senate |  n. 参议院,上议院
treaty |  n. 条约, 协定
transistor |  n. 晶体管，晶体管收音机
raise |  n. 上升, 增高; 高地 // vt. 升起, 举起, 饲养; 提出, 引起
sarcastic |  adj. 讽刺的
nuisance |  n. 讨厌的东西,讨厌的人,伤害
realm |  n. 王国,领域
shatter |  n. 碎片,乱七八糟的状态 // vt. 打碎,破掉,散开 // vi. 打破,脱落
wolf |  n. 狼
make |  vt.做，制造； 生产，制定； 使成为； 使产生 // vi.开始； 尝试； 行进； 增大 // n.制造； 生产量； 性格； 形状，样式
its |  pron.（it的所有格)它的
soak |  n. 浸,湿透,喝醉 // vt. 使…湿透,浸泡在液体中,浸洗，吸入，使某人喝醉，向某人敲竹杠 // vi. 浸入液体，渗透，感化（某人），无节制地喝酒
barren |  adj. 不育的, 贫瘠的
assembly |  n. 集合, 集会, 装配
pessimistic |  adj. 悲观的, 悲观主义的
lake |  n. 湖
refugee |  n. 难民, 流亡者
prescription |  n. 药方, 对策, 开处方
premise |  vt. 引出，预先提出；作为…的前提 // n. 前提；上述各项；房屋连地基 // vi. 作出前提
heave |  n. 举,抛,起伏 // v. 用力举起,抛出,凸起
toe |  n. 脚趾,足尖 // vt. 趾触,趾踢 // vi. 踮着脚尖走
kitchen |  n. 厨房
instruct |  v. 教, 命令, 指导 // [计算机] 指示
phase |  n. 相, 相位,时期,局面,阶段 // v. 逐步执行,实行,按计划进行
string |  n. 线,一串,字串 // vt. 串起,成串,收紧, 悬挂；系；扎 // vi. 给…装弦 // adj. 线的
infrastructure |  n. 下部构造, 下部组织, 基础结构, 基础设施
sure |  adj. 确信, 必然的, 必定的 // adv. 当然, 确实地, 无疑地
torch |  n. 火炬, 火把, 手电筒, 照明物, 向导 // vt. 使...迅速燃烧, 点燃火炬
individual |  adj. 个别的; 独有的 // n. 个人, 个体
accustom |  v. 使...习惯
husband |  n. 丈夫 // vt. 节俭
extend |  v. 扩充, 延伸, 伸展, 扩展
clockwise |  adj. 顺时针方向的 // adv. 顺时针方向地
simply |  adv.&amp;adj. 简单地,仅仅
readily |  adv. 不迟疑地,迅速地,轻易地
satisfy |  vt. 使...满意, 使...信服 // vi. 足够, 取悦
recent |  adj. 近来的, 新近的
financial |  adj. 金融的,财政的
daytime |  n. 白天, 日间
access |  n.入口，出口； 接近，进入； 增长； 爆发 // vt.接近，进入； 使用，接近，获取
visit |  n. 拜访,访问 // vt. 拜访,访问,参观 // vi. 参观, 巡视, 逗留
enterprise |  n. 企业,企划,进取心
superficial |  adj. 表面的,肤浅的
tool |  n. 工具,用具,受人利用的人,印压的图案 // vt. 驾驶,用工具加工,印压图案于 // vi. 驾驶,用工具加工
pose |  n. 姿势,姿态,装模作样 // vt. 提出(问题),引起,定格 // vi. 摆姿势,装模作样
transmission |  n. 传输, 播送, 变速器, 传递的信息
wish |  n. 渴望,愿望,(复数)祝颂,命令 // vt. &vi. 想要,希望
mind |  n. 思想, 主意, 心意, 记忆, // vt. 留心, 注意, 介意, 照顾 // vi. 留心, 关心
resident |  adj. 居住的 // n. 居民,旅客
missionary |  n. 传教士, 负有任务者, 工作人员 // adj. 传教的, 负有使命的
prosper |  v. 兴隆,成功,使...昌盛
umbrella |  n. 伞,保护伞 // vt. 用伞遮住
bond |  n. 债券；结合；约定；粘合剂 // vi. 结合，团结在一起 // vt. 使结合；以…作保
more |  adv.更，更多； 达到或处于更大的范围或程度； 此外，更加 // adj.更多的； (many)的比较级； 附加的，额外的 // pron.更多的或附加的人或事物 // n.更多； 附加，添加
plenty |  n. 充足,大量
Christian |  adj. 基督教（徒）的，信奉基督教的，仁慈的 // n. 基督教徒
disguise |  n. 假面目,伪装物,假装 // vt. 假装,假扮,掩饰
Catholic |  adj. 天主教的, (catholic)普遍的, 广泛的 // n. 天主教徒
salient |  adj. 突出的,显著的 // n. 突出部分
either |  pron. 任一的 // conj. 或, 也 // adj. 任一, 两方的 // adv. 也
centigrade |  adj. 分为百度的,摄氏的
shiver |  vt. 颤动(碎裂) // n. 冷颤(碎块)
coherent |  adj. 互相耦合的,清晰的，明了的，凝聚性的,连贯的
pick |  n. 采摘, 精选,鹤嘴锄,精品, 收获量 // vt. 摘,挑选,挑惕,剔除,戳,撬 // vi. 慎选, 凿, 吹毛求疵, 采收
shipment |  n. 装船,货物,出货
rainbow |  n. 彩虹 // adj.五彩缤纷的
defendant |  n. 被告
ice |  n. 冰, 矜持 // v. 冰冻, 结冰
award |  vt.授予，奖给，判给； 判归，判定 // n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书
amiable |  adj. 和蔼的, 亲切的
crush |  n. 压碎, 拥挤的人群, 迷恋, 关键时刻, 果汁, 榨汁酿酒 // vt. 压破, 征服, 挤入, 镇压 // vi. 被压碎, 挤
proceed |  vi. 继续进行; 开始, 着手
wipe |  n. 擦拭,用力打 // vt. &vi. 擦,消除,拭去
sheer |  adj. 绝对的,全然的,峻峭的  // vt. &vi. 急转,躲避 // adv. 完全,全然,峻峭 // n. 转向,(甲板的)脊弧,透明薄织物
downward |  adj. 向下的 // adv. 向下
sweet |  adj. 甜(蜜)的,新鲜的,可爱的,悦耳的 // n. 糖,甜(点),令人高兴的东西 // adv. 甜蜜地
source |  n. 来源
cannon |  n. 大炮 // vi. 开炮
sunrise |  n. 日出
tar |  n. 焦油,柏油 // n. 水手 // vt. 涂以焦油
enclose |  vt. 围绕, 圈起, 放入封套, 附上 // [计算机] 括入
junction |  n. 联接, 会合处, 交叉点
consecutive |  adj. 连续的,连贯的
cake |  n. 蛋糕, 薄饼, 块状物, 小菜一碟(容易做成的事) // vt. 涂厚厚的一层, 覆盖, 填满 // vi. 结成块
heritage |  n. 遗产, 继承物
groan |  v. 呻吟
size |  n. 尺寸, 大小 // vt. 按大小排列(或分类) // adj. 一定大小的 // vt. 用...填充(某物)
confess |  v. 承认, 告白, 忏悔
waste |  vt. 浪费, 使瘦弱, 逐渐消耗 // vi. 挥霍, 规模缩小, 大伤元气 // adj. 荒芜的, 未开垦的, 废的 // n. 浪费, 废料, 垃圾, 荒漠, 凄凉的景象
perceive |  v. 察觉, 感觉, 认知, 理解
proportion |  n. 比例,均衡,部份 // vt. 使成比例,使均衡,分摊
implement |  n. 工具, 器具; 当工具的物品 // vt. 实施, 执行; 向...提供工具(或手段)
poem |  n. 诗
update |  vt. &vi. 更新,补充最新资料 // n. 更新
diplomatic |  adj. 外交的,古字体的,老练的
pail |  n. 提桶
ban |  n. 禁令 // v. 禁止 // vt. 禁止,取缔
blueprint |  n. 蓝图, 设计图, (周详的)计划 // v. 制成蓝图, 计划
guilty |  adj. 有罪的, 内疚的
typical |  adj. 典型的, 有代表性的
module |  [计算机] 模块 // n. 组件
recession |  n. 后退,凹入的地方,不景气
mount |  n. 山峰,乘用马,框,衬纸 // vi. 增长,骑上(马) // vt. 提升,爬上,装备
at |  prep. 在，向，达 // n. 基普(老挝货币基本单位)(=att) // abbr. 密封的(=airtight) // abbr. 气温（=air temperature） // n. [化]砹(极不稳定放射性元素)
auxiliary |  n. 帮助者, 辅助物, 助动词 // adj. 附加的, 辅助的
sky |  n. 天空 // v. 把...投向空中，将…高挂
refuge |  n. 避难(处), 庇护(所) // v. 庇护, 避难(所)
excessive |  adj. 过多的,过分的
sound |  vt. 听（诊）；测量，测…深；使发声；试探；宣告 // n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 // adj. 健全的，健康的；合理的；可靠的；有效彻底的 // adv. 彻底地，充分地 // vi. 听起来；发出声音；回响；测深
intelligible |  adj. 可理解的, 易理解的, 明了的
sociable |  adj. 好交际的, 社交的
formula |  n.   公式,配方,规则；代乳品 // adj. （赛车的）级的，方程式的
league |  n. 联盟,社团
museum |  n. 博物馆
nor |  conj.&adv. 也不,也没有 // [计]"或非"，"非或" // abbr. 诺曼人(=Norman) // abbr. 北方（=North） // abbr. 挪威（= Norway） // abbr. 挪威人（=Norwegian）
aisle |  n. (席位间的)通道, 侧廊
characterize |  vt. 表示...的典型,赋予...特色
scar |  n. 疤痕,伤痕,断崖 // vt. &vi. 结疤,使...有伤痕,痊愈
blackboard |  n. 黑板
petroleum |  n. 石油
typewriter | n. n. 打字机
warfare |  n. 战争,冲突
intimate |  adj. 亲密的,私人的,秘密的 // n.  密友 // vt. 透露,暗示
wound |  vbl. 嗅出,吹号角(wind的过去式和过去分词) // n. 创伤,伤害,苦痛 // vt. &vi. 伤害
monument |  n. 纪念碑,历史遗迹
ecology |  n. 生态学
universal |  adj. 普遍的,通用的,宇宙的 // n. 通用
officer |  n. 官员,军官 // vt. 提供官员,指挥
remote |  adj. 偏僻的,遥远的,远程的，(感情等)距离很大 // n. 远程操作
accelerate |  vt. 加速,提前,跳级 // vi. 加速
divine |  adj. 神的,神圣的 // vt. 推断 // vi. 预言,理解 // n. 牧师,神学家
ending |  n. 结尾, 结局
then |  adv. 那么, 当时，然后，于是 // adj. 当时的
important |  adj. 重要的,影响很大的
extra |  adj. 额外的 // adv. 特别地 // n. 额外的事物，另外收费的
accomplish |  vt. 完成
millionaire |  n. 百万富翁
wicked |  adj. 邪恶的；恶劣的；不道德的；顽皮的
vulgar |  adj. 通俗的,粗俗的
drug |  n. 药,毒品 // vt. 下药,使...服麻醉药 // vi.吸毒
myth |  n. 神话
intricate |  adj. 复杂的,错综的,缠结的,难懂的
invade |  vt. 侵略,侵害,拥入
emit |  v. 发出,放射,吐露 // [计算机] 发射
absorb |  v. 吸收,吸引...的注意,使全神贯注
hi |  int. 嗨, 引人注意时的喊声, 打招呼
dividend |  n. 红利,股息,意外之财, 彩金, 被除数
golden |  adj. 金(黄)色的
homogeneous |  adj. 同种的,同质的,均质的
moderate |  adj. 适度的, 稳健的, 温和的, 中等的 // v. 节制, 使...稳定, 使...缓和 // n. 稳健的人
bread |  n. 面包,食物,生计 // vt. 撒面包屑
wash |  v. 洗, 洗涤, 洗清 // n. 洗, 洗濯
whether |  conj.&amp;adv. 是否
target |  n.（服务的）对象； 目标； （射击的）靶子； 目的 // vt.瞄准； 把…作为攻击目标
loudspeaker |  n. 扬声器, 喇叭
none |  pron.没有人，没有一人； 没有一个； 没有一部分，没有一点 // adv.根本不； 无法，绝不
auction |  n. 拍卖 // vt. 拍卖
grateful |  adj. 感激的, 感谢的
serious |  adj.严肃的, 庄重的, 严重的, 危急的, 认真的
alloy |  n. 合金 // vt. 使...成合金, 搀以劣质, 减低成色, 影响或贬损 // vi. 有合金能力
bring |  vt. 带来, 引起, 促使, 劝诱 // vi. 产生
moss |  n. 苔藓, (苏格兰)泥沼 // vt. 使…长满苔藓
meantime |  adv. 与此同时 // n. 其时, 其间
energy |  n. 活力,精力,能力,能,能量
shepherd |  n. 牧羊者, 牧师, 指导者 // v. 看守, 领导, 指导
production |  n. 生产,产品,产量,作品,成果
vertical |  adj. 垂直的,顶点的,纵向的 // n. 垂直物, 垂直的位置
gasoline |  n. 汽油
purple |  adj. 帝王的,紫色的,辞藻华丽的 // n. 紫色,皇室,皇权 // vi. &vt. 变紫
instruction |  n. 说明,须知,指令,教学
conquest |  n. 征服
merely |  adv. 仅仅,只不过
funeral |  adj. 葬礼(的) // n. 葬礼
lens |  n. 镜头,透镜
kind |  adj. 仁慈的,友好的 // n. 种类,本质
sustain |  vt. 承受, 支持, 经受, 维持
beg |  vt. 乞讨，恳求，合理需要 // vi. 行乞，乞求 // abbr. （begin）的缩写，开始
frame |  n. 框,结构,骨架 // v. 构成，把...框起来，陷害 // adj. 木结构的
kid |  n. 小孩, 小山羊, 小山羊皮制品 // vi. (山羊,羚羊)生幼崽, 玩恶作剧 // vt. 开玩笑, 哄骗, 嘲弄 // adj. 相对年幼的
admire |  vt. 钦佩, 羡慕, 赞美
income |  n. 收入,所得
thirty |  num. 三十
cable |  n. 电缆,海底电报 // vt. 打海底电报,把...拧成缆,用缆捆住 // vi. 打海底电报
wink |  n. 眨眼,使眼色,瞬间 // vt. &vi. 眨眼,使眼色,闪烁
alongside |  adv. 在旁边 // prep. 在...旁边
prize |  n. 奖品,珍品,战利品 // vt. 重视 // adj. 奖励的,杰出的
swift |  adj. 快的,迅速的 // adv. 快速地 // n. 雨燕,线轴
city |  n. 城市
soup |  n. 汤,羹,困境
tendency |  n. 趋势,倾向
howl |  n. 吠声, 嚎叫 // v. 狂吠, 咆哮, 呼啸
accommodate |  vi. 使自己适应 // vt. 使一致，和解；提供方便；容纳；顾及
belief |  n. 相信, 信念, 信仰
leaf |  n. 树叶,页,活动桌板,花瓣 // vt. 翻页 // vi. 长叶子,翻页浏览
interior |  adj. 内部的,内地的,国内的,在内的 // n. 内部
brochure |  n. 小册子
baby |  adj. (形容用法)婴儿的, 过小的 // n. 婴儿, 象婴儿的人, 需特殊关心的事物 // vt. 溺爱, 过度关心
forest |  n. 森林,园林,林火 // vt. 用树林覆盖, 植树
axe |  n. 斧, 乐器, 突然去除 // vt. 用斧砍, 突然去除
similar |  adj. 相似的,类似的,相同,一样
seat |  n. 位子,所在地,中心 // vi. 坐 // vt. 使坐下,可容纳
crow |  n. 啼叫,乌鸦, 欢叫 // vi. 啼叫,报晓,欢叫 // vt. 洋洋夸口,自鸣得意
aural |  adj. 耳的, 听觉的
assign |  v. 分配,指派 // n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符
conceal |  vt. 隐藏, 掩盖
bud |  n. 芽, 花蕾 // vi. 发芽, 萌芽 // vt. 使发芽
naughty |  adj. 顽皮的,淘气的，粗俗的
comparative |  adj. 比较的,相当的 // n. 对手
vacant |  adj. 空的,空虚的,木然的
worry |  n. 烦恼,忧虑,苦恼 // vt. 使...烦恼,使...焦虑, 叼住某物甩或拉 // vi. 感到苦恼,感到焦虑
excellent |  adj. 极好的,优秀的
tale |  n. 叙述,传说,故事
household |  adj. 家庭的, 家喻户晓的 // n. 家庭, 户
objection |  n. 反对,异议
success |  n. 成功,发财，胜利，成功者，成功的事物
physics |  n. 物理学
effort |  n. 努力, 努力的成果
occasion |  n. 场合,机会,理由 // vt. 致使,惹起,引起
crab |  n. 蟹 // v. 捕蟹，使横行 // n. 爱争吵的人 // n. [植]山楂子 // v. 批评，抱怨
ruby |  adj. 红宝石色的 // n. 红宝石，红宝石色 // Ruby：露比（人名）
fling |  n. 投掷, 一时的行乐, 漫不经心的一段(尝试或感情) // vt. 投, 粗暴地推向..., 猛冲, 激动地说, 全身心投入 // vi. 急冲, (动物)猛跳
base |  n. 基底,（支持、收入、力量等的）基础 // vt. 以...作基础 // adj. 卑鄙的；不道德的
stocking |  n. 长袜
plague |  n. 瘟疫, 麻烦, 灾祸 // vt. 折磨, 烦扰, 造成麻烦
latter |  adj. 后面的,后者的 // pron.&amp;n. 后者
match |  n. 比赛, 火柴, 对手, 般配的人, 配偶 // v. 使...相配, 与...竞争, 相配
companion |  n. 同伴, 同事, 成对物品之一, (船的)甲板间扶梯(或扶梯的顶篷) // vt. &vi. 陪伴
casualty |  n. 变故,伤亡者,伤亡人数
verse |  n. 诗,韵文,诗节 // vi. 作诗 // vt. 诗化,在诗中表现,对...熟悉
fatal |  adj. 致命的, 毁灭性的, 决定性的
gracious |  adj. 亲切的, 高尚的
set |  vt.放置，安置； 使处于某种状况； 设置； 摆放餐具 // vi.落山； 出发； 凝结 // n.一套，一副； 集合； 布景； 电视机 // adj.固定的； 位于…的； 顽固的； 安排好的
person |  n. 人
tense |  adj. 紧张的, 拉紧的 // vt. 使紧张, 拉紧 // vi. 变得紧张 // n. (动词的)时态
term |  n.学期； 条款； 术语； 期限 // vt.把…称为； 把…叫做
per |  prep. 每,每一 // adv.每人
transparent |  adj. 透明的, 明显的, 清晰的
dialect |  n. 方言
deaf |  adj. 聋的
evening |  n. 傍晚, 晚上
oil |  n. 油,油画颜料,奉承话 // vt. &vi. 涂油,溶化,加油
input |  n. 输入
conquer |  vt. 征服, 战胜, 克服 // vi. 得胜
safe |  adj. 安全的 // n. 保险箱
electrical |  adj. 电的,电气科学的
short |  adj. 短的,矮的,短暂的  // n. 短裤 // adv. 短暂地;突然地
barber |  n. 理发师
proposal |  n. 求婚, 提议, 建议
glitter |  n. 灿烂, 闪烁, 辉耀 // v. 灿烂, 闪烁, 辉耀
elapse |  v. 逝去, 过去
semester |  n. 学期
ease |  n. 安乐,安逸,悠闲 // vt. 使...安乐,使...安心 // v. 减轻,放松
undo |  v. 解开，松开，取消
construction |  n. 建设，建造，结构，构造
controversy |  n. (公开的)争论,争议
layer |  n.层，层次； 膜； [植]压条； 放置者，计划者 // vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 // vi.形成或分成层次； [植]通过压条法而生根
